10th,12th,IQ ,O,C,E,A,N,STREAM
93.2,79.01,24,65.7,77.1,64.4,80.4,32.4,PCB
94.02,83.56,18,39.3,50.2,41.9,70.5,30.8,Commerce
90.65,77.29,54,60,87.7,44.8,70.1,40,Commerce
74.34,60.57,25,69.7,43.1,58,46.6,25,PCM
95.07,49.23,6,69.4,50.2,29.1,64.4,63.3,Commerce
90.95,81.96,10,64.3,70.1,88,64.6,40.5,PCB
91.09,46.9,34,48.6,91.9,61.6,68.3,35.4,PCM
89.22,76.06,17,73.2,80.5,52.7,89,24,Commerce
86.32,42.83,6,49.4,55.3,60.5,52.6,42.1,PCM
97.57,82.25,77,51.6,64.3,53.5,85.3,57.6,Commerce
86.41,74.31,21,62.2,90.4,48.4,76.1,48.1,Commerce
97.48,78.82,14,62.7,87.4,48.6,64.5,59.1,Commerce
95.02,74.82,33,43.2,74,64.1,64.4,35.2,PCB
88.23,53.53,74,48.7,51.6,63.9,69.8,52.3,Commerce
99.22,77.09,78,76.5,92.1,49.5,96.7,36.6,Commerce
91.51,76.58,18,72.7,72.6,84.3,99,36.9,PCB
99,74.71,28,63.2,12.5,78.7,53.3,38.6,PCB
91.11,75.57,40,50.4,41.9,52.7,81.8,46.4,PCM
92.84,77.16,25,62.3,64.4,73.3,84.7,24.6,PCB
90.05,50.66,6,44.8,89.9,36.6,52.4,29.2,PCB
91.2,47.98,64,41.7,52.2,26.4,54.4,58.2,Commerce
93.22,79.91,16,87.9,93.8,64.1,77.1,25.1,Commerce
70.75,74.72,55,78.5,97.3,56.3,88.3,25.2,Commerce
87.17,80.59,37,62.7,73.6,83.8,65.3,23,PCB
82.26,77.74,19,35,64.4,32.8,70.1,28.1,Commerce
70.86,78.92,26,71.5,46.4,52,80.5,37.9,Arts
91.45,76.05,26,70.4,81.3,52.3,53.7,34.3,PCB
77.01,75.61,24,81.8,84.6,67.3,59,23,PCB
93.75,77.6,76,72,57.8,54,85.6,41.8,PCB
90.46,76.33,16,67.9,57.2,71,82.1,27.9,PCB
81.33,81.95,21,46,81.9,83,70.3,62.8,PCB
83.7,76.46,50,56.7,63.4,53.8,59.8,34.8,Commerce
96.27,74.91,67,72.4,74.2,81.2,86.1,23,Commerce
87.81,76.53,31,77.9,87.2,57.7,81.3,49.3,Commerce
82.36,77.09,62,48.1,65.3,66,68.9,23,PCM
97.95,79.86,21,50.5,66.8,35,80.6,28.1,Commerce
84.73,77.25,21,51.5,43.8,49.2,45.4,44.1,Commerce
98.97,78.18,59,43.8,49.6,37.8,85.9,46.3,PCB
90.17,68.19,3,53.7,61.4,64,58.7,43.9,Commerce
96.7,74.95,80,63.1,51.6,31.8,61.5,28.8,Arts
90.28,53.68,8,41.6,50.3,42.9,58.6,60.2,PCB
89.54,80.95,4,42.4,12.5,58.7,38,25.2,PCM
92.29,77.97,63,57.5,51.9,41.2,55.3,23,PCB
98.42,78.51,15,47.6,39.5,35.2,77.5,54.3,PCM
97.99,76.3,74,70.5,84,70.3,80.4,23,Commerce
88.07,75.57,81,72.3,87,74.4,93.9,23,Commerce
76.38,78.47,15,49.7,61.5,87.6,46.6,23,PCB
95.72,77.06,37,57.8,90,38.7,72.1,23,Commerce
97.53,77.7,5,74.1,82.9,48.3,76,23,PCB
94.41,82.12,17,46.1,37.1,36.1,55.8,41.2,Commerce
89.51,77.82,8,49.2,49.1,54.6,54.3,40.5,Commerce
92.44,78.82,10,35.7,49.6,47.8,79.1,33.4,PCM
86.45,76.97,13,56,43.5,78.6,42.8,33.7,PCB
81.25,78.61,25,52.5,81.4,54.5,82,27.9,PCM
91.8,80.62,19,75.3,51.8,66.3,73.3,50.1,PCB
94.37,77.59,7,47.6,56.4,56.1,50,38,Commerce
93.44,76.2,54,59.6,79.8,49.7,63.5,35.5,Commerce
91.82,79.7,21,63.8,89.3,80.5,72,25.5,PCB
92.49,45.17,11,58,98,36.9,68.3,29.7,PCB
92.13,45.9,27,85.6,73.5,49.1,48,33.7,Arts
98.27,79.78,65,73.7,47,82.5,81.3,33.2,PCB
90.75,77.96,18,47.9,47.5,28.8,58.1,46.9,Arts
95,82.58,53,54.7,50.1,39.7,76.1,23,PCM
78.89,76.75,49,78.2,81.4,36.2,58.5,32.8,PCB
93.87,76.97,13,43.8,59.2,41.6,62.4,26.1,PCB
96.55,80.03,74,85.3,81.1,85.1,82.3,31.7,Commerce
89.68,78.82,23,62.1,13.9,48.8,85.8,30.3,Commerce
88.17,40,3,35,55.6,49.4,45,37.6,PCM
95.49,78.65,29,61.5,52,57.9,46.7,33.4,PCM
93.59,46.17,14,62.5,59,57.5,75.7,23,Commerce
89.01,80.59,43,65.9,86.8,56.9,82.3,23,PCB
72.18,80.66,31,56.2,52.2,66.3,51.1,29.4,Arts
86.84,76.65,53,37.9,75.5,79.4,56,23,PCB
99.07,76,41,53.8,59.4,48.6,74.2,38.7,Commerce
92.27,79.34,20,48.3,18.2,60.7,64,40.6,PCM
85.25,81.16,58,42.7,76.7,73.2,65.3,26.7,PCB
91.55,75.25,10,53.3,72.4,26.6,69.9,42.6,Arts
95.44,79.79,13,59.5,47.3,66,81.2,40.3,PCM
77.65,40,13,68.8,54.8,55.3,70.6,45.6,Commerce
94.19,78.71,10,60.9,53.4,33.9,83.2,32.7,Commerce
86.84,76.98,23,37.3,66,48.1,72.8,32.6,Commerce
90.45,82.37,57,87.5,76.6,68.4,74.9,40.6,PCB
82.94,77.16,36,63.9,77.1,50.9,56.9,28.7,PCB
75.62,80.97,5,67.8,53.4,43.2,49,33.9,Commerce
86.81,75.67,11,62,55.3,44.1,78.7,26.1,PCB
96.92,77.03,38,67.3,78.9,70.9,63.8,38.8,PCM
99.22,77.55,31,71.4,80,56.9,81.8,46.3,Commerce
92.81,75.47,24,70.5,79,34.2,73.2,30.7,Commerce
82.02,81,14,57.1,79,49.7,55.7,30.8,PCB
96.28,77.44,53,39.8,48.9,69.2,33.9,50.7,Arts
91.57,76.33,24,78.5,76.5,67.7,54.9,23,PCB
82.48,43.21,79,86.8,84.8,79.7,58.4,23,Commerce
84.92,76.15,18,49.3,53.6,26.7,46.9,38.3,Arts
84.62,78.7,57,83.2,97,52.5,97.8,32.4,Commerce
77.36,79.09,76,89.9,79.8,82.5,74.6,35.3,Commerce
81.05,56.3,25,62.8,16.2,63.5,81.1,35.7,PCM
96.59,83.05,79,80.6,55.4,86.8,70.6,51,Commerce
92.17,76.9,33,77.3,74.2,71.7,68.3,41.5,PCB
91.25,78.14,3,52.2,72.5,67.2,80.4,54.4,Commerce
98.69,80.42,14,63.7,47.9,28.2,76.8,49.2,PCM
78.57,80.97,32,73.9,40.3,61.4,57.6,50.1,Commerce
82.93,79.33,51,51.8,45.9,61.8,48.6,62.6,Commerce
94.2,77.49,65,51.8,54.9,51,57.7,23.8,Commerce
81.09,77.87,54,76.3,70.2,83.2,73.1,23,Commerce
92.64,45.21,19,44.4,54.5,46.6,54.4,28.9,PCM
87.56,51.35,57,55.9,44.3,48.2,59,38,PCM
96.24,79.5,15,39.8,54.2,32.7,30.9,50.8,Commerce
92.76,77.74,76,47.6,87.8,45.1,66.9,60.5,Commerce
75.42,77.01,79,67.1,84.4,94.5,64.1,23,PCB
91.38,77.91,17,98,79.3,68,72.8,23,PCB
92.28,82.18,57,49.1,55.5,36,70.3,44.2,PCM
84.09,85.3,21,58.3,55.2,47.9,96.3,25.3,Commerce
74.46,83.52,57,61.3,60,52.6,57.9,23,PCB
69.79,78.37,83,42.7,50.9,66.3,53.7,49.4,Commerce
81.69,82.43,86,58.5,89.8,56.5,58.7,23,PCM
94.18,43.49,11,69.5,63.7,62.3,84,32.4,PCM
86.49,79.46,47,62.5,87.8,49.5,53.6,56.6,Arts
89.41,79.6,59,71.1,62.7,39.1,68.7,34.1,PCB
93.66,80.02,24,49.5,54.2,45.7,71,28.3,PCM
90.48,79.16,16,80.1,42.8,41.6,66.7,38.6,Commerce
93.58,53.71,64,70.2,50.2,33.5,45.5,23,PCM
91.6,77.25,3,83,91.5,43.5,64.4,55.5,Arts
91.42,76.05,60,65.9,60.7,80.1,61.2,30.4,Commerce
84.98,77.11,21,46.5,73.7,33.6,56.5,27.9,Commerce
96.85,76.71,12,65.3,83.3,38.3,55.1,36.3,PCM
87.96,40,22,66.3,74.2,56.7,86,23,PCM
75.15,75.52,80,47.5,82.2,46.7,73.4,34.8,Commerce
83.01,78.63,52,75,81.7,56.1,63.3,31.2,PCB
86.9,76.83,6,43.6,67.2,54.9,54.1,37,Commerce
96.65,73.42,11,65.5,84.4,68.4,56.3,28.8,Commerce
92.76,76.36,25,54.3,43.2,60.8,50,23,Commerce
89.17,78.43,55,47.3,60.2,55.2,76.3,38.1,Arts
88.88,81.96,37,55.2,57.4,37.5,65.4,63,PCB 
86.12,44.13,10,60.8,65.6,48.6,79.1,25.6,Commerce
88.49,75.55,30,60.7,74.4,71.7,50.2,50,Commerce
99.22,76.81,24,68.6,52.4,58.6,63,54.6,Commerce
77.8,79.82,14,43,52.1,51.8,66,30.2,PCM
90.38,77.67,42,47.9,59.3,29.1,52.2,40.9,PCB
94.76,80.59,23,51.4,83.9,73.7,71.2,51.4,PCB
86.96,79.47,4,61.3,55.8,68.1,50.3,33.8,PCB
94.69,53.9,20,43.8,52.3,46.6,44.5,23,PCM
96.71,77.55,14,83.8,80.5,95.9,90.1,24,PCM
81,79.53,12,47.3,65.9,34.4,73.8,27,Commerce
94.15,81.46,27,37.9,41.9,61.7,39.1,35.6,Commerce
99.22,77.04,15,50.4,76.1,67.6,82.1,23,PCB
95.05,53.8,25,43,57.2,31.1,67.5,48.9,PCM
90.1,78.72,23,85.4,49.2,46.3,67.9,27.3,PCM
96.3,76.11,21,50.3,61.1,60.8,71.1,23,PCB
94.58,78.77,47,63.6,56.1,30.8,66.1,78.3,Commerce
87.62,84.55,14,56,40.1,47.4,58.3,42,Commerce
97.03,77.18,27,58.4,67.1,48,80.4,31.7,PCM
99.22,77.61,11,42.7,38.8,54.3,44.2,28.6,PCM
84.3,74.8,11,58.1,50.9,53.2,55,47.6,Commerce
93.13,76.71,78,52.4,74,71.3,77.7,61.2,PCM
81.12,78.97,30,75.2,54.5,63.6,53.2,23.1,PCM
92.67,83.42,13,43.2,51.4,65.9,71.5,45.4,Commerce
71.81,80.72,63,66.4,53.3,83.9,76.9,28.4,Arts
91.01,77.56,14,64.8,88,76.4,54.4,30.9,PCB
94.33,84.03,34,46.1,51.3,36.8,57.3,47.8,Arts
89.97,80.3,62,64.1,89.5,47,67.3,23,Commerce
75.32,81.99,24,45.9,44.5,97,53.3,30,PCM
86.47,76.1,15,64.8,87.2,75.8,66.8,52.6,Commerce
95.64,82.02,20,75.8,41.2,66.8,76.4,39.7,Commerce
99.22,78.68,25,82.4,84.7,85.8,62.7,34.2,PCB
90,77.35,85,60,61.2,82.1,68.4,23,PCM
86.19,82.42,70,77.6,62.8,66.9,57.1,24.2,Commerce
86.78,61.58,20,66.7,47.9,55.9,64.6,54.2,PCB
92.65,72.54,24,74,58.8,63.4,65.4,23,PCB
90.45,78.55,19,98,75.2,83.6,88.2,31.8,PCB
91.16,79.74,9,51.8,70.5,49.7,49.8,25.2,PCB
99.22,78.73,57,52.2,95.2,70.1,74,45,Commerce
88.62,75.76,20,52.9,67,65.3,46.8,31.3,PCM
85.17,61.52,3,35,36.7,63.3,43.8,74.2,PCB
89.9,78.85,86,53.7,49,55.1,67.9,23,PCB
97.71,78.45,23,54.6,45.4,35.6,50.2,30.1,Arts
86.9,79.55,18,67.8,62.7,50.5,72.4,51.2,PCM
65,76.07,24,54.6,71.7,57.9,64.7,40.9,Commerce
83.81,50.91,42,45,77.8,74.4,70.1,27.8,Arts
82.72,76.4,22,57.7,81.1,61.8,67.3,23,PCM
91.23,75.39,52,76.5,98,69,74.6,31.6,PCB
87.33,77.81,45,70.4,55.8,59.9,76,30.9,Commerce
98.08,78.94,15,40.3,48.3,48.9,82.3,50.9,PCB
85.23,43.03,53,60.2,86.1,70.6,66.8,48.1,Commerce
94.31,78.03,14,63.3,74.4,68.9,85.2,51.4,PCB
83.4,80.6,13,68,52.3,34.4,55.9,24.3,PCM
88.69,76.54,37,51.5,54.9,35.2,76.3,30.6,PCB
87.22,76.13,48,51.6,98,40.9,80.1,33.1,PCB
93.56,76.78,25,59,88.3,34.9,77.4,34.4,Commerce
89,48.51,32,46.2,49.1,40.1,70.2,60.2,Commerce
93.99,80.92,45,74.3,62.1,56.5,76.6,33,Commerce
80.2,88.57,64,59.1,51.7,67.3,65.9,46.9,Commerce
85.39,77.69,15,61,51.6,63.7,77.2,24.9,Commerce
95.89,77.45,35,44.8,56.5,66.7,48.1,26.5,Commerce
65,77.4,60,78.8,82.4,56,74.6,47.1,Commerce
89.49,78.53,18,35.7,58.3,64.5,62.7,23,PCB
87.81,74.43,19,73,81.7,59.2,86.8,23,Commerce
89.36,83.11,12,60.1,76.6,42.7,62.7,38,PCB
96.03,80.24,26,54.7,89,39.8,82.9,26.6,Commerce
91.43,78,13,56.9,86.7,51.9,49.3,42.7,PCB
93.93,80.91,21,53.2,51.5,47.6,57.3,23,PCB
81.52,76.99,9,57.9,63.1,38.6,51.8,51.9,Commerce
96.65,77.38,17,59.3,80.8,68.1,70.5,32.6,PCB
89.51,78.56,17,65.7,61.5,34.8,77.9,37.3,PCB
85.51,77.15,43,86.1,57.3,55.5,70.5,24.4,PCM
90.22,60.86,72,50.8,74.2,75.6,62.7,29.9,PCM
81.47,75.06,13,41.3,60.6,51.6,60.6,24.7,Commerce
93.26,83.61,5,73.7,90.5,54.2,80.3,43,PCM
90.76,77.29,9,57.8,45.7,38.7,87.4,50.9,Commerce
90.31,77.22,9,49.4,43.3,51.3,79.4,30.5,PCB
93.09,76.73,54,46.9,55.7,31.5,62.4,24,PCM
89.99,77.83,31,58.8,50.3,40.7,56.4,31.3,PCB
91.7,78.61,29,47.7,86.1,71.4,73.7,60,PCM
98.52,84.15,18,48.7,62.2,47.2,60.7,23,PCM
90.93,76.08,69,86.1,85.9,71.7,70.2,27.1,PCB
99.22,73.14,24,51.2,79.1,56,86.7,34.2,Commerce
94.3,49.15,29,50.8,78.6,48.6,71.6,46.6,PCB
74.86,80.07,59,54.3,65.6,46,85.7,24.3,PCB
86.39,75.71,22,51.2,45.9,49.8,64.9,26.9,PCM
98.36,82.29,47,35,54.5,25.2,38.1,23,PCB
93.43,78.41,31,68,54.1,90.3,65.7,61.9,PCM
82.22,42.14,21,77,78.7,57.1,78.5,24.7,PCB
93.94,79.08,81,38.4,40.5,27.8,55.1,26.8,Commerce
90.88,76.78,26,52,70.1,47.8,64.2,52.2,PCB
93.57,77.74,28,73.6,59.4,53.9,54.2,46,PCM
77.66,77.22,65,52.9,75.5,46.6,61.8,25,Arts
91.32,78.3,19,59.1,63.1,49,69.2,45.4,Commerce
94.4,76,26,72.3,67.9,69.1,82.9,45.7,PCB
90.83,78.62,22,67.1,65.6,61,71.6,48.8,PCB
82.4,78.35,9,41.2,48.1,60.3,60.7,24.8,Commerce
94.12,79.78,69,56.3,43.3,33.9,63.2,49.3,PCM
90.92,80.83,67,65.9,68.5,57.1,67,28,PCM
93.35,74.08,11,76.1,46.3,47.8,67.4,32.8,PCB
94.25,80.79,9,59.4,52.4,44.8,48.4,47.2,PCB
93.66,77.7,19,53.1,40.3,45.1,49.8,23,Commerce
84.17,77.51,13,70.9,75.8,35.6,72.1,34.3,PCB
91.46,77.78,14,47.1,47.8,32.1,38.6,40.4,PCM
92.37,63.13,14,74.4,51.1,57.1,60.3,49.7,Commerce
92.6,76.33,64,74.2,87,39.2,73.5,37.2,Commerce
90.85,78.48,14,74.1,73.9,69.5,77.3,23,PCB
95.24,78.41,52,88.1,62.8,57.6,88.4,33.8,Commerce
91.27,77.71,15,64.8,42.1,42,50.8,44.2,Commerce
99.22,76,55,42.4,72.2,47.4,50.4,39.8,PCM
77.59,77.76,29,55.2,51.4,49,74.1,32.2,PCM
87.92,72.97,16,46.1,49.9,42.2,79,23,PCB
92.65,77.9,18,52.2,60.9,26.3,71.4,26,PCB
80.46,79.47,19,43.9,79.1,70.4,62.4,24.6,Commerce
90.58,77.71,30,74.1,85.2,97,91.9,24,PCB
86.19,59.24,50,60.2,57.6,38.1,68,49.5,Commerce
88.52,84.75,46,55.2,83.7,72.1,74.1,41.3,Arts
96.9,78.43,31,70.2,92,64.6,85.2,40.6,Commerce
82.61,77.22,13,54.6,59.6,59.9,65.2,23.9,PCB
90.45,94.83,20,45.9,74.9,62.2,69.8,46,PCB
94.31,81.29,59,44.2,65,47.2,62.9,27.4,Arts
96.65,78.39,23,52.6,63.3,48.9,80.6,23,Commerce
81.09,76.39,14,78.6,84.3,38.2,62.4,23,Arts
99.1,82.09,43,62.7,74.4,38.1,59.3,57,Commerce
91.84,52.69,13,54.6,44.2,30.8,67.8,50,PCM
95.79,78.06,14,78.8,58.3,55,81.5,23,PCB 
91.99,76.41,9,64.4,61.8,59.4,63,51.5,PCM
97.29,79.49,15,36.2,51.2,29.8,59.5,60.3,Commerce
85.28,79.17,51,64,60.2,34.6,75.3,36,PCM
95.16,79.52,24,69.9,61.6,76.4,60.3,23,PCM
84.16,49.66,80,59.2,57.9,80.3,80.9,52.1,Arts
93,85.11,20,59.9,53,63.5,71.5,30.5,PCM
88.26,77.05,14,37.1,20.8,54.2,59.5,40.1,Commerce
92.03,77.23,20,46,68.8,77.1,58.5,23,Arts
91.65,77.8,49,51.6,34.3,61.2,78,23,PCB
92.75,75.44,14,50.9,56.7,41.1,55.5,44.7,PCB
92.38,80.48,46,52,86.1,53.3,54.9,38.7,PCM
93.33,79.54,20,61.7,84.4,74.1,53.9,33.8,Commerce
94.57,79.87,40,68.6,73.3,75.7,39.5,28,Arts
95.81,75.73,14,78,78.3,53.1,63.3,29.9,Commerce
86.52,82.54,62,61.3,92.1,71.8,74.1,27.1,Commerce
84.28,77.62,11,82.2,65.7,73.2,86.9,23,Commerce
67.81,52.89,34,53.5,82.7,33,50.4,61.5,Commerce
76.58,56.56,12,40.7,92.9,35.5,63.4,29.6,PCB
96.02,81.6,85,66.9,60.3,35.8,60.8,23,PCB
98.3,76.37,16,55,71.8,89.4,79.7,33.7,PCB
95.66,54.17,50,50.6,79.9,59.6,69.5,50,PCB
96.58,75.44,30,57.9,74.4,60.6,53.5,23,PCB
91.49,83.4,16,66.9,64.4,81.5,76.7,54.1,PCB
94.93,76.49,51,58.7,77.7,50,62.3,28,PCB
78.68,50.72,63,61.7,60.7,77.3,58.6,38.4,Arts
89.6,56.17,22,60,70.1,53.7,56.3,47.1,PCB
87.1,76.17,24,41.5,78.6,58.1,53.7,44.3,PCB
92.91,75.6,45,53.9,44,49.5,60.2,23,PCB
80.65,51.16,46,51.6,94.3,57.4,55.3,39.9,PCB
92.63,76.63,13,53.7,43.5,50.1,74.5,23,PCB
94.29,40,30,67.1,85.9,57,64.9,23,Commerce
86.82,75.5,58,71.8,91.4,65.5,80.4,39.3,Commerce
93.17,75.5,49,54.1,75.4,83.5,89.8,23.4,PCB
91.66,74.1,86,61.6,54.2,77.2,86,35.7,Arts
86.52,77.84,20,50,40.8,49.1,85.8,38.1,PCB
94.35,42.22,17,36.3,43,35.2,51,28.3,PCB
84.41,78.62,20,48.8,70.5,49.5,71.7,28.1,Commerce
91.89,40,13,52.5,91.7,63.6,78.2,62.6,Commerce
93.37,77.07,24,39.4,73.5,48.8,58.7,46.7,Commerce
92.38,78.04,27,47.9,43,43.8,54.6,38.9,Commerce
94.59,77.93,29,66.6,76.6,80.7,55,43,PCB
90.99,48.68,4,76.1,84.5,86.1,92,50.6,PCM
70.89,77.44,44,58.5,85,66.2,44.8,25,Commerce
84.23,50.04,27,44,56.8,42.1,77.1,34.3,Commerce
83.13,79.45,28,50.7,60.4,25.8,55.3,49.7,PCM
97.27,75.75,14,50.7,85.1,34.4,83.8,28.6,Arts
92.89,77.17,39,63.2,81.9,75.6,68.6,23,PCB
99.22,76.4,20,62.3,43.7,46.4,67.3,28,Commerce
91.81,76.13,63,42.8,85.3,71.5,85,28.3,PCB
92.93,82.81,59,62.5,86.1,54.6,74.1,42.2,PCB
91.46,77.53,7,44.9,54.5,32.4,50.6,32.9,PCB
94.28,78.78,43,54.4,59,66.8,73.3,37.6,PCB
91.61,80.36,21,78.2,45.3,48.4,75.7,28.5,Commerce
88.4,78.31,10,53.6,49.3,52.2,50.9,32.6,PCB
88.54,77.79,18,76,55.2,50.1,39,27.3,PCM
98.75,79.33,70,71.5,84,84.2,79.2,23,Commerce
81.51,72.51,83,50.6,49.8,55.2,47.3,23,Commerce
83.66,79.61,32,60.4,49.3,54.4,62.2,48.7,PCM
90.8,75.4,25,39.6,60.1,47,46.2,23,Arts
99.22,74.92,68,49.6,68.5,52.4,69.8,25.5,PCB
88.91,81.77,57,38.5,61.7,41.3,54.7,44.7,Commerce
83.56,60.37,12,35.2,56,50.6,55.3,41.4,PCB 
93.04,77.37,45,63.7,88.5,72.3,88.1,23,Commerce
90.34,79.9,27,63,64.7,60.4,63.7,58,Commerce
90.55,44.48,28,52.6,57.5,49.4,48.6,34.2,PCM
94.07,75.14,23,62.1,81.8,35.2,69,23,Arts
86.97,78.58,27,76.5,59,64.5,64.8,23,Arts
94.47,77.84,13,87.5,92.7,86.8,83.6,36.1,Arts
95.4,56.18,18,42.4,62.7,51.8,77.4,52.5,PCB
88.78,79.94,71,56.1,59.9,72.5,75.2,42.5,Commerce
99.16,78.75,36,53.6,88.9,58.4,73.9,23,PCM
76.97,77.25,49,54.2,72.3,43.3,45.8,25.6,PCB
69.72,82.86,22,50.3,64.1,56.3,65.2,46.6,PCB 
89.46,80.82,33,95.3,58.4,65.8,75.8,33.8,PCB
94.48,82.05,66,65.7,84.6,46.3,69.2,41.1,PCB
93.62,77.37,21,62.6,80.1,49,85,34.2,PCM
71.15,79.89,13,45.8,82.7,29.7,52.5,50,Commerce
69.89,79.44,13,53.5,84.1,45.3,64.7,50.9,PCB
85.5,61.32,24,52.4,46.7,67.8,49.2,28.1,Commerce
96.66,75.02,28,52.2,51.6,56.2,52.2,39.5,Commerce
98.11,75.97,15,86.3,64.2,56.8,92.4,24.1,Arts
88.84,75.85,73,62.9,44.5,87.5,73.6,27.1,PCB
89.18,79.97,27,66.5,46.1,49.3,77.5,41.6,PCM
93.3,80.35,81,53.4,79.5,66.4,69.6,45.3,Arts
85.96,77.74,10,52,74.5,77.8,74.2,23,PCM
80,79.97,84,79,50.3,91.2,83.2,45.3,PCB
90.39,81.3,22,67.1,72.1,62.1,78.8,24.1,Commerce
89.78,78.4,11,57.2,46.6,39.8,61.7,23,Arts
99.22,83.81,62,83.2,74.1,79.8,72.4,45.5,PCB
93.59,81.14,54,46,57.5,49.5,88.1,30,Arts
97.53,76.39,12,36.7,55.6,44.2,56.6,23,PCB
86.31,40,20,57.6,77.3,45.1,66.6,46.3,PCM
94.06,75.84,13,44.3,81,45.7,80.5,29.6,PCM
95.61,85.82,68,70.5,92.6,51.1,74.8,31.4,PCB
85.58,79.67,23,46.4,50.2,59,77.4,31.4,Commerce
95.39,76.29,36,87.9,98,68.5,94.3,27.2,Commerce
84.1,73.65,66,35.8,62.5,60.9,58.2,34.4,Commerce
94.04,52.43,76,88.9,74.8,85.1,87.8,30.7,Commerce
82.26,81.18,82,73.4,79.1,53.7,79.2,38,PCB
67.53,76.94,30,82,69.1,71.6,85.9,23,Commerce
92.98,80.24,57,60.9,50.6,46,76.9,44.4,Commerce
90.83,79.31,16,43.7,49.8,36.8,94,24.4,PCM
99.22,81.93,4,58.3,67.7,63.4,70.4,29.8,Commerce
99.22,77.27,19,50.7,45.1,34.6,43.2,30.2,Commerce
90.77,78.62,8,72.9,85.7,75.3,76.6,28.1,Commerce
99.22,79.24,30,97.1,72.6,64.3,78,23,PCM
87.95,76.31,32,39.6,76.3,43.6,62,28.2,PCB
88.26,77.79,20,42.8,87.8,42.4,69.8,23,PCB
91.99,76.18,70,57.3,72,76.2,75.7,23,PCM
82.29,81.22,25,44.6,68.9,45.8,39.2,47,PCB
81.43,79.44,25,86.5,66,80.2,73,41.7,PCB
82.28,78.06,54,40.5,48.8,29.3,58.8,24.5,Arts
85.89,79.01,11,70,64,56.8,89.7,41.4,PCB
89.66,78.59,15,53.3,49.6,57.6,45.6,37.9,Commerce
96.15,78.81,20,37.9,58.5,47.5,56.9,23,PCB
97.58,80.33,64,65.3,74.9,50.1,72.4,30.6,PCB
89.14,85.26,25,50.9,47.1,42.2,49.1,36.8,Commerce
87.61,74.42,33,60.7,89,76.1,85.4,23,Commerce
87.89,41.18,31,54.9,60.8,64,70.3,38.5,PCB
96.81,40,44,53.9,75.8,57.6,92.4,23,PCM
92.21,43.02,62,88.8,80.2,77.4,82.9,28.3,PCB
95.55,76.26,19,64.4,86.1,47.4,68.7,23,Commerce
93.14,78.75,17,57,72.6,27,63.1,38.1,Commerce
99.18,76.98,24,56.4,75.2,39.5,58.5,50.9,Arts
86.68,79.04,22,64.7,52.7,52.4,65.2,53.1,Commerce
92.34,77.68,11,59.3,50.8,54,57.1,47.5,Commerce
94.69,79.28,21,42,54,55.8,55.7,47.3,Commerce
99.22,78.24,23,71.6,77,59.8,74.4,37.6,PCB
99.22,78.27,22,61.1,43.6,47.1,67.9,23,Commerce
95.26,78.56,32,55,45.3,57.6,76,23.2,PCM
84.73,78.08,18,72.3,69.8,66.8,93.3,26.9,PCB
94.08,79.44,22,51.6,69,79,64.3,32,Arts
95.98,78.56,10,54.1,60.2,39.8,52.7,51.3,Arts
92.96,78.55,24,45.9,56.9,48.8,72.5,35.9,Commerce
70.05,75.51,19,48.2,77.6,60.2,71.1,53.8,PCM
98.62,40,23,65.9,47.6,74.3,53.2,30.7,Arts
88.45,78.07,31,54.9,86.2,67.7,68.1,48.6,PCM
82.98,80.47,20,63.8,51.7,48,77.7,38.9,Arts
89.35,75.56,76,52,61.3,43.5,65.3,23,Commerce
93.07,79.68,30,44.9,53.1,52.3,83.7,47.5,Commerce
87.8,40,9,38.2,48.2,36.8,41.6,40.9,PCB
94.96,81.81,54,65.2,46.4,69.3,50.1,56,PCM
91.69,78.89,58,62.3,58.4,66.3,80.8,44.2,PCB
91.63,76.16,25,36.9,60.4,44.8,45.8,38.5,PCB
88.22,75.49,59,53.8,79.1,53.1,57.5,31,PCB
65,78.62,4,89.2,98,65.5,86.1,23,PCM
91.58,46.54,15,59.5,56.3,40.8,68.8,29.5,PCB
90.55,78.52,20,58.7,49.8,65.6,82.1,23,PCB
99.16,76.86,61,45.5,58,40.1,75.7,39.1,PCB
93.75,73.87,25,78.4,53.4,66.1,68.3,30.7,Commerce
86.1,82.66,23,81.4,86.5,62.5,69.5,31.4,Commerce
91.42,76.23,21,37,97.6,36.6,41.9,39.2,PCM
94.8,83.79,17,47.7,45.1,46.2,59.9,39.4,PCM
87.96,79.57,23,57,55.4,61.2,91.9,52.4,PCB
93.04,79.78,40,68.3,47.9,55.1,77.4,34.1,PCM
87.79,75.37,46,52.2,53.8,40.9,62.4,29.7,Commerce
97.78,77.67,74,79.9,82.2,50.2,86.2,23,PCM
91.85,76.25,69,60.8,46.2,50.4,83.5,30.4,Commerce
85.06,82.18,78,71.7,90.7,61.6,64.7,60.5,Commerce
86.2,77.11,46,64,89.7,57.9,72.5,33.7,Commerce
86.68,75.56,29,38.9,70.6,65,85.8,36.4,PCM
91.44,76.75,26,88,78.7,85.4,54.7,23,Commerce
93.35,78.56,67,49.1,41.8,62,47,23,PCM
90.62,78.14,41,73,53.3,88.5,67.9,44,Commerce
94.82,77.3,30,44.9,92.3,45.4,65.2,23,PCB
96.93,77.72,19,84.8,19.4,67.4,82.1,23.1,PCB
95.66,80.59,37,39.1,60,46.1,59.7,24.8,Commerce
